KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
amwCoordinates,Coordinates:,Koordinaten:,Coordonnées :,Coordinate:,Coordenadas:,Coordenadas:,Coordenadas:,Współrzędne:,Координаты:,座標:,坐标:,座標：,좌표:,Koordinatlar:,Συντεταγμένες:,Coördinaten,Toạ độ:
amwMarkerIcon,Marker Icon:,Icon:,Icône du marqueur :,Icona Indicatore:,Icono de posición:,Ícone Marcador:,Icone de Marcação:,Ikona:,Значок маркера:,アイコン:,标记图标:,標記圖示：,마커 아이콘:,İşaret Simgesi:,Εικονίδιο Δείκτη:,Marker Icoon,Ký hiệu đánh dấu
amwMarkerName,Marker Name:,Name:,Nom du marqueur :,Nome Indicatore:,Marcador de nombre:,Nome Marcador:,Nome da Marcação:,Nazwa:,Имя маркера:,マーカー名:,标记名称:,標記名稱：,마커 이름:,İşaret Adı:,Όνομα Δείκτη:,Marker Naam,Tên điểm đánh dấu
amwRemoveonApproach,Remove on Approach,Bei Annäherung entfernen,Supprimer en approche,Rimuovi in Prossimità,Eliminar al acercarse,Remover com Aproximação,Remover ao Aproximar-se,Usuń po osiągnięciu,Удалить при приближении,到着後に削除,接近后删除,接近時移除,접근 시 제거,Yaklaşınca İşareti Kaldır,Αφαίρεση κατά την Άφιξη,Verwijder bij benadering,Gỡ bỏ khi đến gần
amwShowonHud,Show on HUD,Auf HUD anzeigen,Afficher sur le HUD,Mostra sull'HUD,Mostrar en HUD,Mostrar no HUD,Mostrar no HUD,Wyświetl w HUD,Показать на HUD,HUDに表示,在游戏画面上显示,在抬頭顯示器顯示,HUD에 표시,HUD da Göster,Προβολή στο HUD,Laat op HUD zien,Hiển thị trên màn hình hiển thị
amwTitleAdd,ADD MAP MARKER,KARTENMARKER HINZUFÜGEN,AJOUT DE MARQUEUR GPS,AGGIUNGI INDICATORE SULLA MAPPA,AÑADIR MARCADOR DE MAPA,ADICIONAR MARCADOR MAPA,ADICIONAR MARCAÇÃO NO MAPA,DODAJ NOWY ZNACZNIK,ДОБАВИТЬ МАРКЕР КАРТЫ,マップマーカーを追加,添加地图标记,加入地圖標記,加入地圖標記,HARİTADA İŞARETLE,ΠΡΟΣΘΗΚΗ ΔΕΙΚΤΗ ΣΤΟ ΧΑΡΤΗ,Markeerpunt toevoegen,THÊM MỘT ĐIỂM ĐÁNH DẤU BẢN ĐỒ
amwWaypoint,Waypoint,Wegpunkt,Waypoint,Waypoint,Coordenadas,Ponto de passagem,Waypoint,Punkt nawigacyjny,Маршрут,ウェイポイント,追踪,路標點,웨이포인트,Güzergah,Διαδρομή,Routepunt,Điểm dẫn hướng
lkwArmorName,Name:,Name:,Nom:,Nome:,Nombre:,Nome:,Nome:,Nazwa:,Имя:,名称:,名称:,名稱：,이름:,Adı:,Όνομα:,Naam,Tên:
lkwArmorSlot,Armor,Schutzanzug,Armure,Difesa,Armadura:,Armadura,Armadura,Pancerz,Броня,アーマー,护甲,護甲,아머,Zırh,Πανοπλία,Bepantsering,Áo giáp
lkwArmorStats,ARMOR STATS,RÜSTUNGSWERTE,STATS ARMURE,STATISTICHE ARMATURA,ESTADÍSTICAS DE ARMADURA,ESTATÍSTICAS ARMADURA,ESTATUS DA ARMADURA,PARAMETRY SKAFANDRA,ХАРАКТЕРИСТИКИ БРОНИ,アーマー性能,护甲状态,護甲屬性,아머 상태,ZIRH İSTATİSTİKLERİ:,ΣΤΑΤΙΣΤΙΚΑ ΠΑΝΟΠΛΙΑΣ,Bepantsering statistieken,THỐNG KÊ ÁO GIÁP
lkwBoosterSlot,Boosters,Booster:,Boosters,Potenziamenti,Refuerzos,Propulsores,Aperfeiçoamentos,Dopalacze,Усилители,ブースター:,强化器,推進器,부스터,Güçlendiriciler,Προωθητήρες,Boosters,Bộ tăng tốc
lkwColdResistance,Cold Resistance:,Kälteresistenz:,Tolérance au froid:,T° Minima:,Resistencia al frío:,Resistência ao frio:,Resistência ao Frio:,Odporność na chłód:,Хладостойкость:,耐寒性:,寒冷抗性:,抗寒冷性：,내한성:,Soğuk Direnci:,Αντοχή στο Κρύο:,Koude bestendigheid,Kháng lạnh:
lkwComfortZone,Comfort Zone (Temp.):,Komfortbereich (Temp.):,Zone de confort (Temp.):,Zona di Comfort (Temp.):,Zona de confort (temp.),Zona de conforto (Temp.):,Zona de Conforto (Temp.):,Zakres ochrony (temp.):,Зона комфорта (темп.):,対応可能温度,适宜区域（温度）:,舒適區間（溫度）：,컴포트 존(임시):,Rahat Bölge (Sıcaklık):,Ζώνη Άνεσης (Θερμοκρασία):,Comfort zone,Vùng thoải mái (nhiệt độ)
lkwDurability,Durability:,Haltbarkeit:,Durabilité:,Durevolezza:,Durabilidad:,Duração:,Durabilidade:,Wytrzymałość:,Прочность:,耐久度:,耐久值:,耐久度：,내구성:,Sağlamlık:,Αντοχή:,Duurzaamheid,Độ bền:
lkwHeatResistance,Heat Resistance:,Hitzeresistenz:,Tolérance à la chaleur:,T° Massima:,Resistencia al calor:,Resistência ao calor:,Resistência ao Calor:,Odporność cieplna:,Жаростойкость:,耐熱性:,炎热抗性：,抗炎熱性：,내열성:,Isı Direnci:,Αντοχή στη Ζέστη:,Hitte bestendigheid,Chịu nhiệt:
lkwLocker,ARMOR LOCKER,RÜSTUNGSSPIND,CASIER ARMURES,POSTAZIONE ARMATURA,DEPÓSITO DE ARMADURA,ARMÁRIO PARA ARMADURA,ARMÁRIO DE ARMADURA,SZAFA NA SKAFANDER,ШКАФ АМУНИЦИИ,アーマーロッカー,护甲更衣柜,護甲櫃,아머 로커,ZIRH DOLABI,ΦΟΡΙΑΜΟΣ ΠΑΝΟΠΛΙΑΣ,UITRUSTINGS LOCKER,TỦ GIÁP
lkwRadiationLimit,Radiation Protection:,Strahlungslimit:,Protection contre les radiations:,Protezione Radiazioni:,Protección contra radiación,Proteção contra radiações:,Prot. Contra Radiação:,Ochrona przed promieniowaniem:,Радиационная защита:,放射線防護:,辐射保护：,輻射防護：,방사선 방호:,Radyasyon Koruması:,Προστασία Ακτινοβολίας:,Stralings limiet,Bảo vệ bức xạ:
lkwRadResistance,Radiation Resistance:,Strahlungsresistenz:,Résistance aux radiations:,Resistenza Radiazioni:,Resistencia a la radiación:,Resistência a radiações:,Resistência á Radiação:,Odporność na promieniowanie:,Устойчивость к радиации:,放射線抵抗:,辐射抗性：,抗輻射性：,방사선 내성:,Radyasyon Direnci:,Αντοχή στην Ακτινοβολία:,Stralings bescherming,Bức xạ kháng:
